entered and chekced,Site,Date,month,day,year,Species,notes,Counts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,60,notes
,LH2,5/21/18,5,21,2018,banded butterflyfish,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,beaugregory,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock A,6/17/18,6,17,2018,beaugregory,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock B,6/17/18,6,17,2018,beaugregory,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,beaugregory,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,beaugregory,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW1,5/20/18,5,20,2018,beaugregory,,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H6,6/17/18,6,17,2018,bicolor damselfish,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,black hamlet,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H5,6/17/18,6,17,2018,black hamlet,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES1,5/20/18,5,20,2018,black margate,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,LH3,5/21/18,5,21,2018,black margate,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,
didn't' double check,H5,6/5/18,6,5,2018,blackbar soldierfish,,29,,,,,,,,,,,,26,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H6,6/5/18,6,5,2018,blackbar soldierfish,,45,,,,,,,,,,25,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,blackbar soldierfish,,10,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock A,6/17/18,6,17,2018,blackbar soldierfish,,9,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock B,6/17/18,6,17,2018,blackbar soldierfish,,12,,,,,,,,,,,7,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,blackbar soldierfish,,50,,,,,,,,,,40,,,,8,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,blackbar soldierfish,,10,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H3,6/22/18,6,22,2018,blackbar soldierfish,,55,,,,,,,,20,,,,20,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,blackbar soldierfish,,50,,,,,,,,,,,,20,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H5,6/17/18,6,17,2018,blackbar soldierfish,,19,,,,,,,,,,5,,10,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H6,6/17/18,6,17,2018,blackbar soldierfish,,50,,,,,,,,,,20,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW4,5/20/18,5,20,2018,blackbar soldierfish,,5,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ES1,5/20/18,5,20,2018,blackbar soldierfish,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LH2,5/21/18,5,21,2018,blackbar soldierfish,,6,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock B,6/17/18,6,17,2018,brown chromis,changed from blue chromis,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW2,5/20/18,5,20,2018,brown chromis,changed from blue chromis,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW1,5/20/18,5,20,2018,brown chromis,changed from blue chromis,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock A,6/17/18,6,17,2018,bluehead wrasse,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock B,6/17/18,6,17,2018,bluehead wrasse,,2,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,bluehead wrasse,,2,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,bluehead wrasse,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,bluehead wrasse,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW2,5/20/18,5,20,2018,bluehead wrasse,,4,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW1,5/20/18,5,20,2018,bluehead wrasse,,2,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW4,5/20/18,5,20,2018,bluehead wrasse,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LH2,5/21/18,5,21,2018,bluehead wrasse,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,blue runner,,5,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H1,6/15/18,6,15,2018,blue runner,,21,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H4,6/22/18,6,22,2018,blue runner,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LH3,5/21/18,5,21,2018,blue runner,,10,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,
,LH2,5/21/18,5,21,2018,blue runner,,10,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
didn't' double check,H8,6/19/18,6,19,2018,blue tang,,3,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H5,6/5/18,6,5,2018,blue tang,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,H6,6/5/18,6,5,2018,blue tang,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Busted,6/17/18,6,17,2018,blue tang,,3,,,,,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock A,6/17/18,6,17,2018,blue tang,,5,,,,1,,,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
didn't' double check,HCR2-Clock B,6/17/18,6,17,2018,blue tang,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOW2,5/20/18,5,20,2018,blue tang,,2,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LH3,5/21/18,5,21,2018,blue tang,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEA,H2,6/22/18,6,22,2018,bucktooth parrotfish,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
