Year,Island,Reef ID,Transect ID,Distance ID,Shoot ID,Blade ID,Reef,Transect,Distance,Shoot,Blade,Growth,Width,Growth duration,Growth per day,Growth area
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_1,2018_LH1_2_0.5_1_1,LH1,2,0.5,1,1,25,9.5,10,2.5,23.75
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_1,2018_LH1_2_0.5_1_2,LH1,2,0.5,1,2,65,9.5,10,6.5,61.75
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_2,2018_LH1_2_0.5_2_1,LH1,2,0.5,2,1,42,8.5,10,4.2,35.7
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_2,2018_LH1_2_0.5_2_2,LH1,2,0.5,2,2,57,8.5,10,5.7,48.45
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_3,2018_LH1_2_0.5_3_1,LH1,2,0.5,3,1,56,7.5,10,5.6,42
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_3,2018_LH1_2_0.5_3_2,LH1,2,0.5,3,2,44,7.5,10,4.4,33
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_3,2018_LH1_2_0.5_3_3,LH1,2,0.5,3,3,19,7.5,10,1.9,14.25
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_4,2018_LH1_2_0.5_4_1,LH1,2,0.5,4,1,3,8,10,0.3,2.4
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_4,2018_LH1_2_0.5_4_2,LH1,2,0.5,4,2,55,8,10,5.5,44
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_4,2018_LH1_2_0.5_4_3,LH1,2,0.5,4,3,50,8,10,5,40
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_5,2018_LH1_2_0.5_5_1,LH1,2,0.5,5,1,52,7,10,5.2,36.4
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_5,2018_LH1_2_0.5_5_2,LH1,2,0.5,5,2,10,7,10,1,7
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_6,2018_LH1_2_0.5_6_1,LH1,2,0.5,6,1,85,11.5,10,8.5,97.75
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_6,2018_LH1_2_0.5_6_2,LH1,2,0.5,6,2,50,11.5,10,5,57.5
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_7,2018_LH1_2_0.5_7_1,LH1,2,0.5,7,1,54,10,10,5.4,54
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_7,2018_LH1_2_0.5_7_2,LH1,2,0.5,7,2,33,10,10,3.3,33
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_8,2018_LH1_2_0.5_8_1,LH1,2,0.5,8,1,15,9,10,1.5,13.5
2018,Bahamas,2018_LH1,2018_LH1_2,2018_LH1_2_0.5,2018_LH1_2_0.5_8,2018_LH1_2_0.5_8_2,LH1,2,0.5,8,2,51,9,10,5.1,45.9
