CommonName,Family,Genus,Species,MumbyColumn ID,ColumnID,Best model,allgeier_FFG,Valdivia_FFG,tp,Valdivia_TP
african pompano,Carangidae,Alectis,ciliaris,CarangidaeAlectisciliaris,Carangidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.81
almaco jack,Carangidae,Seriola,rivoliana,CarangidaeSeriolarivoliana,Carangidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.81
balloonfish,Diodontidae,Diodon,holocanthus,DiodontidaeDiodonholocanthus,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
banded butterflyfish,Chaetodontidae,Chaetodon,striatus,ChaetodontidaeChaetodonstriatus,ChaetodontidaeChaetodonstriatus,species,Microinvertivore,Microinvertivore,3.2,3.19
bandtail pufferfish,Tetradontidae,Sphoeroides,spengleri,TetradontidaeSphoeroidesspengleri,TetraodontidaeSphoeroidessp,genus,Microinvertivore,Omnivore,2.6,2.56
bar jack,Carangidae,Caranx,ruber,CarangidaeCaranxruber,CarangidaeCaranxsp,genus,Piscivore,Piscivore Invertivore,4.5,4.39
barred hamlet,Serranidae,Hypoplectrus,puella,SerranidaeHypoplectruspuella,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
bchromis,Pomacentridae,Chromis,cyanea,PomacentridaeChromiscyanea,PomacentridaeChromissp,genus,Planktivores,Planktivore,3.1,3.1
beaugregory,Pomacentridae,Stegastes,leucostictus,PomacentridaeStegastesleucostictus,PomacentridaeStegastessp,genus,Herbivores,Herbivore,2,2
bermuda chub,Kyphosidae,Kyphosus,sectatrix,KyphosidaeKyphosussectatrix,KyphosidaeKyphosussp,genus,Herbivores,Herbivore,2,2
bicolor damsel,Pomacentridae,Stegastes,partitus,PomacentridaeStegastespartitus,PomacentridaeStegastessp,genus,Herbivores,Herbivore,2,2
bicolor damselfish,Pomacentridae,Stegastes,partitus,PomacentridaeStegastespartitus,PomacentridaeStegastessp,genus,Herbivores,Herbivore,2,2
bicolored damselfish,Pomacentridae,Stegastes,partitus,PomacentridaeStegastespartitus,PomacentridaeStegastessp,genus,Herbivores,Herbivore,2,2
black bar blennyu,Blennidae,,,,LabridaeHalichoeressp,,Microinvertivore,Macroinvertivore,3.5,3.5
black durgon,Balistidae,Melichthys,niger,BalistidaeMelichthysniger,Balistidaespsp,family,Macroinvertivore,Macroinvertivore,3.2,3.24
black ear wrasse,Labridae,Halichoeres,poeyi,LabridaeHalichoerespoeyi,LabridaeHalichoeressp,genus,Microinvertivore,Macroinvertivore,3.5,3.5
black grouper,Serranidae,Mycteroperca,bonaci,SerranidaeMycteropercabonaci,SerranidaeMycteropercabonaci,species,Piscivore-Invertivore,Apex predator,4.5,4.5
black hamlet,Serranidae,Hypoplectrus,nigricans,SerranidaeHypoplectrusnigricans,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
black jack,Carangidae,Caranx,lugubris,CarangidaeCaranxlugubris,CarangidaeCaranxsp,genus,Piscivore,Piscivore Invertivore,4.5,4.39
black margate,Haemulidae,Anisotremus,surinamensis,HaemulidaeAnisotremussurinamensis,Haemulidaespsp,family,Macroinvertivore,Macroinvertivore,3.5,3.25
blackbar soldierfish,Holocentridae,Myripristis,jacobus,HolocentridaeMyripristisjacobus,Holocentridaespsp,family,Macroinvertivore,Macroinvertivore,3.6,3.61
blackcap basslet,Grammatidae,Gramma,melacara,GrammatidaeGrammamelacara,Grammatidaespsp,family,Planktivores,Microinvertivore,3.5,3.31
blackear wrasse,Labridae,Halichoeres,poeyi,LabridaeHalichoerespoeyi,LabridaeHalichoeressp,genus,Microinvertivore,Macroinvertivore,3.5,3.5
blackfin snapper,Lutjanidae,Lutjanus,buccanella,LutjanidaeLutjanusbuccanella,LutjanidaeLutjanussp,genus,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.86
blenny sp,Blennidae,,,,LabridaeHalichoeressp,,Microinvertivore,Macroinvertivore,3.5,3.5
blenny sp.,Blennidae,,,,LabridaeHalichoeressp,,Microinvertivore,Macroinvertivore,3.5,3.5
blue chromis,Pomacentridae,Chromis,cyanea,PomacentridaeChromiscyanea,PomacentridaeChromissp,genus,Planktivores,Planktivore,3.1,3.1
blue parrotfish,Scaridae,Scarus,coeruleus,ScaridaeScaruscoeruleus,ScaridaeScarussp,genus,Herbivores,Herbivore,2,2
blue runner,Carangidae,Caranx,crysos,CarangidaeCaranxcrysos,CarangidaeCaranxsp,genus,Piscivore,Piscivore Invertivore,4.5,4.39
blue striped grunt,Haemulidae,Haemulon,sciurus,HaemulidaeHaemulonsciurus,HaemulidaeHaemulonsciurus,species,Macroinvertivore,Macroinvertivore,3.5,3.36
blue tang,Acanthuridae,Acanthurus,coeruleus,AcanthuridaeAcanthuruscoeruleus,AcanthuridaeAcanthuruscoeruleus,species,Herbivores,Herbivore,2,2.01
bluehead wrasse,Labridae,Thalassoma,bifasciatum,LabridaeThalassomabifasciatum,Labridaespsp,family,Macroinvertivore,Macroinvertivore,3.4,3.38
bridled burrfish,Diodontidae,Chilomycterus,antennatus,DiodontidaeChilomycterusantennatus,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
brown chromis,Pomacentridae,Chromis,multilineata,PomacentridaeChromismultilineata,PomacentridaeChromissp,genus,Planktivores,Planktivore,3.1,3.1
bucktooth parrotfish,Scaridae,Sparisoma,radians,ScaridaeSparisomaradians,ScaridaeSparisomasp,genus,Herbivores,Herbivore,2,2
Bucktooth Parrotfish,Scaridae,Sparisoma,radians,ScaridaeSparisomaradians,ScaridaeSparisomasp,genus,Herbivores,Herbivore,2,2
butter hamlet,Serranidae,Hypoplectrus,unicolor,SerranidaeHypoplectrusunicolor,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
caesar grunt,Haemulidae,Haemulon,carbonarium,HaemulidaeHaemuloncarbonarium,HaemulidaeHaemulonsp,genus,Macroinvertivore,Macroinvertivore,3.5,3.18
cardinalfish,Apogonidae,Apogon,maculatus,ApogonidaeApogonmaculatus,PomacentridaeChromissp,,Planktivores,Planktivore,3.1,3.1
cardinalfish - flame fish (apogon maculatus),Apogonidae,Apogon,maculatus,ApogonidaeApogonmaculatus,PomacentridaeChromissp,,Planktivores,Planktivore,3.1,3.1
checkered pufferfish,Tetradontidae,Sphoeroides,testudineus,TetradontidaeSphoeroidestestudineus,TetraodontidaeSphoeroidessp,genus,Microinvertivore,Omnivore,2.6,2.56
chromis,Pomacentridae,Chromis,multilineata,PomacentridaeChromismultilineata,PomacentridaeChromissp,genus,Planktivores,Planktivore,3.1,3.1
clown wrasse,Labridae,Halichoeres,maculipinna,LabridaeHalichoeresmaculipinna,LabridaeHalichoeressp,genus,Microinvertivore,Macroinvertivore,3.5,3.5
cocoa damsel,Pomacentridae,Stegastes,variabilis,PomacentridaeStegastesvariabilis,PomacentridaeStegastessp,genus,Herbivores,Herbivore,2,2
coney,Serranidae,Cephalopholis,fulvus,SerranidaeCephalopholisfulvus,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
cornetfish,Fistulariidae,Fistularia,tabicaria,FistulariidaeFistulariatabicaria,Syngnathidaespsp,order,Piscivore-Invertivore,Piscivore Invertivore,4.3,4.26
cottonwick,Haemulidae,Haemulon,melanurum,HaemulidaeHaemulonmelanurum,HaemulidaeHaemulonmelanurum,species,Macroinvertivore,Macroinvertivore,3.5,2.15
creole wrasse,Labridae,Clepticus,parrae,LabridaeClepticusparrae,Labridaespsp,family,Macroinvertivore,Macroinvertivore,3.4,3.38
creolefish,Serranidae,Paranthias,furcifer,SerranidaeParanthiasfurcifer,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
cubera snapper,Lutjanidae,Lutjanus,cyanopterus,LutjanidaeLutjanuscyanopterus,LutjanidaeLutjanussp,genus,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.86
doctorfish,Acanthuridae,Acanthurus,chirurgus,AcanthuridaeAcanthuruschirurgus,AcanthuridaeAcanthuruschirurgus,species,Herbivores,Herbivore,2,2
dog snapper,Lutjanidae,Lutjanus,jocu,LutjanidaeLutjanusjocu,LutjanidaeLutjanussp,genus,Piscivore-Invertivore,Piscivore Invertivore,4.4,3.86
dusky damselfish,Pomacentridae,Stegastes,adustus,PomacentridaeStegastesadustus,PomacentridaeStegastessp,genus,Herbivores,Herbivore,2,2
dusky squirrelfish,Holocentridae,Sargocentron,vexillarium,HolocentridaeSargocentronvexillarium,Holocentridaespsp,family,Macroinvertivore,Macroinvertivore,3.6,3.61
emerald parrotfish,Scaridae,Nicholsina,usta,ScaridaeNicholsinausta,Scaridaespsp,family,Herbivores,Herbivore,2,2
fairy basslet,Grammatidae,Gramma,loreto,GrammatidaeGrammaloreto,Grammatidaespsp,family,Planktivores,Microinvertivore,3.5,3.31
filefish sp.,Monacanthidae,Aluterus,sp,MonacanthidaeAluterusschoepfi,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
flagfin mojarra,Gerreidae,Eucinostoma,sp,GerreidaeEucinostmussp,GerreidaeEucinostmussp,species,omnivore,Macroinvertivore,2.8,3.32
flagfin/silver jenny,Gerreidae,Eucinostoma,sp.,GerreidaeEucinostomasp.,Gerreidaespsp,family,omnivore,Macroinvertivore,2.8,3.32
foureye butterflyfish,Chaetodontidae,Chaetodon,capistratus,ChaetodontidaeChaetodoncapistratus,ChaetodontidaeChaetodoncapistratus,species,Microinvertivore,Microinvertivore,3.2,3.02
french angel,Pomacanthidae,Pomacanthus,paru,PomacanthidaePomacanthusparu,Pomacanthidaespsp,family,omnivore,Large Omnivore,2.8,2.91
french angelfish,Pomacanthidae,Pomacanthus,paru,PomacanthidaePomacanthusparu,Pomacanthidaespsp,family,omnivore,Large Omnivore,2.8,2.91
french grunt,Haemulidae,Haemulon,flavolineatum,HaemulidaeHaemulonflavolineatum,HaemulidaeHaemulonflavolineatum,species,Macroinvertivore,Macroinvertivore,3.5,3.27
fringed filefish,Monacanthidae,Monacanthus,ciliatus,MonacanthidaeMonacanthusciliatus,Tetraodontiformesspsp,order,Microinvertivore,Omnivore,2.6,3.15
goby,gobidae,,,,,,#N/A,#N/A,#N/A,#N/A
golden hamlet,Serranidae,Hypoplectrus,gummigutta,SerranidaeHypoplectrusgummigutta,Serranidaespsp,family,Piscivore-Invertivore,Piscivore Invertivore,4.2,4.23
goldentail moray,Muraenidae,Gymnothorax,miliaris,MuraenidaeGymnothoraxmiliaris,MuraenidaeGymnothoraxsp,genus,Top Predators,Apex predator,4.5,4.01
gray angel,Pomacanthidae,Pomacanthus,arcuatus,PomacanthidaePomacanthusarcuatus,Pomacanthidaespsp,family,omnivore,Large Omnivore,2.8,2.91
