Distance.ID,Reef,Transect,Distance,rich,D,Year,Transect.ID
2018_MOW1_1_1,MOW1,1,1,3,0.197530864,2018,2018_MOW1_1
2018_MOW1_1_2,MOW1,1,2,5,0.365244137,2018,2018_MOW1_1
2018_MOW1_1_3,MOW1,1,3,3,0.197530864,2018,2018_MOW1_1
2018_MOW1_1_4,MOW1,1,4,4,0.231568998,2018,2018_MOW1_1
2018_MOW1_1_6,MOW1,1,6,3,0.244897959,2018,2018_MOW1_1
2018_MOW1_1_12,MOW1,1,12,4,0.285493827,2018,2018_MOW1_1
2018_MOW1_1_20,MOW1,1,20,3,0.244897959,2018,2018_MOW1_1
2018_MOW1_2_1,MOW1,2,1,3,0.165289256,2018,2018_MOW1_2
2018_MOW1_2_2,MOW1,2,2,5,0.314431604,2018,2018_MOW1_2
2018_MOW1_2_3,MOW1,2,3,3,0.038446751,2018,2018_MOW1_2
2018_MOW1_2_4,MOW1,2,4,5,0.133044889,2018,2018_MOW1_2
2018_MOW1_2_6,MOW1,2,6,3,0.038446751,2018,2018_MOW1_2
2018_MOW1_2_20,MOW1,2,20,5,0.322863404,2018,2018_MOW1_2
2018_MOW1_3_1,MOW1,3,1,3,0.038446751,2018,2018_MOW1_3
2018_MOW1_3_2,MOW1,3,2,4,0.34,2018,2018_MOW1_3
2018_MOW1_3_3,MOW1,3,3,3,0.165289256,2018,2018_MOW1_3
2018_MOW1_3_4,MOW1,3,4,3,0.165289256,2018,2018_MOW1_3
2018_MOW1_3_6,MOW1,3,6,4,0.194515306,2018,2018_MOW1_3
2018_MOW1_3_12,MOW1,3,12,2,0.197530864,2018,2018_MOW1_3
2018_MOW1_3_20,MOW1,3,20,4,0.40625,2018,2018_MOW1_3
2018_MOW2_1_1,MOW2,1,1,4,0.285493827,2018,2018_MOW2_1
2018_MOW2_1_2,MOW2,1,2,5,0.322863404,2018,2018_MOW2_1
2018_MOW2_1_3,MOW2,1,3,5,0.322863404,2018,2018_MOW2_1
2018_MOW2_1_4,MOW2,1,4,3,0.062434964,2018,2018_MOW2_1
