ModelLevel,ColumnID,P.int,P.intCI,P.intSD,P.slope,P.slopeCI,P.slopeSD,Emp.N,ModelLevel,N.int,N.intCI,N.intSD,N.slope,N.slopeCI,N.slopeSD,N,N.sd,C,C.sd,P,P.sd,notes
Species,AcanthuridaeAcanthuruschirurgus,-0.000296497,0.000121946,-6.54E-05,1.32E-05,2.27E-06,1.75E-05,7,Species,0.004652648,0.002267451,0.009073094,0.000184637,3.68E-05,0.000254547,11.60171451,0.297036252,38.25314401,0.519067297,3.176908749,0.283048528,
Species,AcanthuridaeAcanthuruscoeruleus,-0.000104893,0.000335886,0.000555952,1.03E-05,5.61E-06,2.10E-05,7,Species,0.003587377,0.002356106,0.008283888,0.000137101,3.59E-05,0.000205727,10.79007001,0.318258662,36.99153909,1.042375799,3.633843596,0.597247659,
Genus,AcanthuridaeAcanthurussp,-0.000126471,0.000128091,0.000122912,1.37E-05,2.68E-06,1.89E-05,13,Genus,0.00254319,0.003076682,0.008490069,0.000241896,5.22E-05,0.000343792,11.15391065,0.510708299,37.55708613,1.051314323,3.421695274,0.523850904,
Family,Acanthuridaespsp,4.21E-05,0.000137639,0.000301863,1.13E-05,3.35E-06,1.78E-05,13,Family,0.00605883,0.003214768,0.012261675,0.000198025,4.86E-05,0.000293052,11.15391065,0.510708299,37.55708613,1.051314323,3.421695274,0.523850904,
BioEn,BalistidaeBalistessp,0.000233334,,0.000478466,1.68E-05,,5.50E-07,,BioEn,0.029231219,,0.004351328,0.000160024,,4.74E-06,10.61624272,0.826502796,37.86227657,4.169258331,3.659852604,0.517587988,
BioEn,Balistidaespsp,0.000740286,,0.000655228,1.67E-05,,7.25E-07,,BioEn,0.029403756,,0.00518452,0.000156598,,5.87E-06,10.61624272,0.826502796,37.86227657,4.169258331,3.659852604,0.517587988,
Family,Belonidaespsp,0.000155965,0.001249527,0.002491533,0.000118681,2.87E-05,0.000175951,9,Family,0.010915381,0.005536867,0.021679453,0.000365122,6.40E-05,0.000491273,11.61114248,0.77130249,37.32869737,1.104389366,3.537135126,0.472732151,
Species,BelonidaeTylosuruscrocodilus,-0.000550175,0.001397361,0.002120569,0.000134363,3.14E-05,0.000196662,9,Species,0.011076743,0.006399169,0.023934424,0.000354712,9.55E-05,0.00053945,11.61114248,0.77130249,37.32869737,1.104389366,3.537135126,0.472732151,
Genus,BelonidaeTylosurussp,-0.000585534,0.001324126,0.00206247,0.000177512,2.20E-05,0.000220867,9,Genus,0.00626887,0.005846311,0.017559405,0.000460353,9.83E-05,0.000656319,11.61114248,0.77130249,37.32869737,1.104389366,3.537135126,0.472732151,
BioEn,CarangidaeCaranxsp,0.016329402,,0.003117533,7.95E-05,,3.05E-06,,BioEn,0.031139288,,0.010429141,0.000203746,,9.61E-06,10.46423785,0,40.82162069,0,2.193604956,0,
BioEn,Carangidaespsp,0.016471259,,0.003571002,7.93E-05,,3.24E-06,,BioEn,0.03949463,,0.008602908,0.000190818,,7.51E-06,10.46423785,0,40.82162069,0,2.193604956,0,
Species,ChaetodontidaeChaetodoncapistratus,4.26E-06,0.000111947,0.000223688,5.96E-05,8.72E-06,7.68E-05,20,Species,0.002915806,0.000971794,0.004818993,0.000336241,8.41E-05,0.000503289,9.115018964,1.238060549,38.79961977,4.586692936,3.633469025,0.549578159,
Genus,ChaetodontidaeChaetodonocellatus,5.87E-06,9.48E-05,0.000189358,4.54E-05,5.14E-06,5.56E-05,28,Genus,0.002593471,0.000833996,0.004204343,0.000413422,4.25E-05,0.00049818,9.354063589,1.826373277,43.18180196,6.412956408,3.490891747,0.55042359,
Genus,ChaetodontidaeChaetodonsp,0.000184611,0.000123321,0.000422641,3.11E-05,5.99E-06,4.35E-05,28,Genus,0.002023352,0.000734906,0.003501927,0.000460553,3.52E-05,0.00053224,9.025274434,1.183024735,40.54010515,4.961154057,3.51485953,0.505624192,
Species,ChaetodontidaeChaetodonstriatus,0.000426106,0.000270843,0.000952678,1.47E-05,3.62E-06,2.20E-05,9,Species,0.004072662,0.001411827,0.006821184,0.000185177,4.03E-05,0.000270209,8.64644446,0.935232712,44.88099567,2.646285251,3.226325052,0.276141584,
Family,Chaetodontidaespsp,0.000119988,0.000116397,0.000345633,3.60E-05,5.65E-06,4.73E-05,28,Family,0.001406968,0.000908681,0.003150297,0.000456703,4.55E-05,0.000547393,9.025274434,1.183024735,40.54010515,4.961154057,3.51485953,0.505624192,
Species,GerreidaeEucinostmusmelanopterus,0.000597423,0.000190354,0.000983848,3.49E-05,8.45E-06,5.14E-05,10,Species,0.003935377,0.000979761,0.005825672,0.000393597,2.15E-05,0.000436248,11.25066769,0,36.60121962,0,3.063349843,0,
Genus,GerreidaeEucinostmussp,0.000536934,0.000184824,0.000897501,3.43E-05,4.77E-06,4.39E-05,10,Genus,0.00542925,0.001212888,0.007797094,0.000278523,8.41E-05,0.000444779,11.25066769,0,36.60121962,0,3.063349843,0,
