Date,month,day,year,Time,Observer,Site,Species-old,Species,notes,Total,Counts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,50,60
6/4/15,6,4,2015,,JEA,H5,stripped parrot,striped parrotfish,,,32,,,,,,,,10,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H5,white grunt,white grunt,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H5,doctorfish,doctorfish,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H5,squirrelfish,squirrelfish,,,6,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H5,blackbar soldierfish,blackbar soldierfish,,,20,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H5,reef squirrelfish,reef squirrelfish,,,20,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H5,beaugregory,beaugregory,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/15,6,3,2015,,JEA,H8,squirrelfish,squirrelfish,,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/15,6,3,2015,,JEA,H8,bluehead wrasse,bluehead wrasse,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/15,6,3,2015,,JEA,H8,banded butterfuly,banded butterflyfish,was just white and black - thought it was a juv angelfish of some sorts (how I labeled it on th survey)\,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/15,6,3,2015,,JEA,H8,yellow jack (juv),horse-eye jack,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/15,6,3,2015,,JEA,H8,blue tang,blue tang,,,2,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/15,6,3,2015,,JEA,H8,slippery dick,slippery dick,,,8,,,,,5,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/15,6,3,2015,,JEA,H8,chain moray,chain moray,`,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
6/3/15,6,3,2015,,JEA,H8,blackbar soldierfish,blackbar soldierfish,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/15,6,3,2015,,JEA,H8,reef squirrelfish,reef squirrelfish,,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/15,6,3,2015,,JEA,H8,fourspot butterflyfish,foureye butterflyfish,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/15,6,3,2015,,JEA,H8,princess parrotfish,princess parrotfish,,,12,,,,,,,,6,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/15,6,3,2015,,JEA,H8,lobster (carapace length),invert,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H4,stripped parrot,striped parrotfish,,,9,,,,,,,,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H4,emerald parrot,emerald parrotfish,,,4,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H4,squirrelfish,squirrelfish,,,16,,,,,,,,10,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H4,stoplight parrotfish,stoplight parrotfish,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H4,blackbar soldierfish,blackbar soldierfish,,,15,,,,,,,,10,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H4,doctorfish,doctorfish,have surgeon onspreadsheet,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H4,bucktooth parrotfish,bucktooth parrotfish,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/15,6,4,2015,,JEA,H4,tan hamlet,butter hamlet,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
