Row,Labels,sp gen,common name,fam,gen,sp,ColumnID,allgeier_FFG,Valdivia_FFG2,Valdivia_FFG_big Pred Cat,Valdivia_FFG,tp,Valdivia_TP,transient,chondrichthyes,notes,weak tp est.,a.Valdivia,b.Valdivia,a.Allgeier,b.Allgeier,a.final,b.final,Valdivia Value,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alectis,ciliaris,Alectis ciliaris,african pompano,Carangidae,Alectis,ciliaris,Carangidaespsp,Piscivore-Invertivore,Piscivore Invertivore,pred,Piscivore Invertivore,4.4,3.81,y,n,,,0.0412,2.85,0.022966667,2.945,0.0412,2.85,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seriola,rivoliana,Seriola rivoliana,almaco jack,Carangidae,Seriola,rivoliana,Carangidaespsp,Top Predators,Apex predator,pred,Piscivore,4.5,4.5,y,n,,,0.0064,3.17,0.022966667,2.945,0.0064,3.17,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetodipterus,faber,Chaetodipterus faber,Atlantic spadefish,Ephippidae,Chaetodipterus,faber,NM,#N/A,Macroinvertivore,Macroinvertivore,Macroinvertivore,#N/A,4.5,p,n,,,0.0591,2.26,NA,NA,0.0591,2.26,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megalops,atlanticus,Megalops atlanticus,Atlantic tarpon,Megalopidae,Megalops,atlanticus,NM,#N/A,Apex predator,pred,Piscivore,#N/A,4.5,y,n,no model,,0.012,2.984,NA,NA,0.012,2.984,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diodon,holocanthus,Diodon holocanthus,balloonfish,Diodontidae,Diodon,holocanthus,Tetraodontiformesspsp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.3,3.3,n,n,,,0.0219,3,0,0,0.0219,3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetodon,striatus,Chaetodon striatus,banded butterflyfish,Chaetodontidae,Chaetodon,striatus,ChaetodontidaeChaetodonstriatus,Microinvertivore,Microinvertivore,Microinvertivore,Microinvertivore,3.2,3.19,n,n,,,0.0222,3.14,0,0,0.0222,3.14,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphoeroides,spengleri,Sphoeroides spengleri,bandtail puffer,Tetraodontidae,Sphoeroides,spengleri,TetraodontidaeCanthigasterrostrata,omnivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3,3.15,n,n,,,0.0107,3.267,0.0235,3.05,0.0107,3.267,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carangoides,ruber,Caranx ruber,bar jack,Carangidae,Caranx,ruber,CarangidaeCaranxsp,Piscivore,Piscivore Invertivore,pred,Piscivore,4.5,4.39,y,n,,,0.018,2.99,0.022966667,2.945,0.018,2.99,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoplectrus,puella,Hypoplectrus puella,barred hamlet,Serranidae,Hypoplectrus,puella,Serranidaespsp,Macroinvertivore,Piscivore Invertivore,pred,Piscivore Invertivore,3.2,3.65,n,n,,,0.0099,3.04,0.00903,3.151666667,0.0099,3.04,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stegastes,leucostictus,Stegastes leucostictus,beaugregory,Pomacentridae,Stegastes,leucostictus,PomacentridaeStegastessp,Macroinvertivore,Small Omnivore,Omnivore,Omnivore,3.1,3.06,n,n,,,0.0303,2.887,0.0303,2.887,0.0303,2.887,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holacanthus,bermudensis,Holacanthus bermudensis,bermuda blue angelfish,Pomacanthidae,Holacanthus,bermudensis,PomacanthidaeHolacanthussp,omnivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3,3.25,n,n,,,0.0319,2.899,0.0319,2.899,0.0319,2.899,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stegastes,partitus,Stegastes partitus,bicolor damsel,Pomacentridae,Stegastes,partitus,PomacentridaeStegastessp,Herbivores,Herbivore,Herbivore,Herbivore,2,2,n,n,,,0.0182,3.152,0.0303,2.887,0.0182,3.152,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
