"Island","Reef","Transect","Fish.N","Fish.P","TN","TP","NO3","PO4","Turbidity","Sediment.N","Sediment.P","Sediment.C","Sediment.13Corg","Sediment.15N","Seagrass.P20","Seagrass.N20"
"Bahamas","ES1","1",1.37,0.1802,185.2,12.1,3.05,7.3,5.7,0.023,0.0065,0.361,-13.8,-1.548,NA,NA
"Bahamas","ES1","2",1.37,0.1802,185.2,12.1,3.05,7.3,5.7,0.053,0.0071,0.534,-13.067,-1.887,NA,NA
"Bahamas","ES1","3",1.37,0.1802,185.2,12.1,3.05,7.3,5.7,0.035,0.008,0.374,-13.726,-2.421,NA,NA
"Bahamas","LH1","1",1.131,0.1681,149.7,8.3,1.08,7.3,6.34,0.022,0.0092,0.282,-14.948,-3.981,0.0671,1.28
"Bahamas","LH1","2",1.131,0.1681,149.7,8.3,1.08,7.3,6.34,0.038,0.0089,0.575,-12.198,-2.045,0.0743,1.76
"Bahamas","LH1","3",1.131,0.1681,149.7,8.3,1.08,7.3,6.34,0.031,0.0094,0.501,-12.661,-3.293,0.0821,1.5
"Bahamas","LH2","1",6.061,0.6262,378.7,7.8,3.55,7.8,12.5,0.029,0.0099,0.398,-16.344,-3.292,0.0754,1.53
"Bahamas","LH2","2",6.061,0.6262,378.7,7.8,3.55,7.8,12.5,NA,NA,NA,NA,NA,0.055,1.5
"Bahamas","LH2","3",6.061,0.6262,378.7,7.8,3.55,7.8,12.5,0.025,0.0108,0.601,-13.651,-2.372,0.0552,1.86
"Bahamas","LH3","1",12.474,0.9999,149.4,8.1,18.65,7.8,7.78,0.024,0.0098,0.347,-17.214,-3.549,0.066,1.41
"Bahamas","LH3","2",12.474,0.9999,149.4,8.1,18.65,7.8,7.78,0.024,0.0104,0.364,-14.815,-3.528,0.0651,1.56
"Bahamas","LH3","3",12.474,0.9999,149.4,8.1,18.65,7.8,7.78,0.022,0.0095,0.285,-17.157,-3.789,0.0593,1.57
"Bahamas","MOW1","1",2.218,0.163,117.1,9.8,2.02,9.8,3.82,0.04,0.01,0.492,-14.377,-3.136,0.0742,1.45
"Bahamas","MOW1","2",2.218,0.163,117.1,9.8,2.02,9.8,3.82,0.045,0.0129,0.557,-14.528,-3.115,0.0873,1.84
"Bahamas","MOW1","3",2.218,0.163,117.1,9.8,2.02,9.8,3.82,0.035,0.0107,0.513,-14.453,-3.522,0.0828,1.54
"Bahamas","MOW2","1",1.72,0.1181,140.9,7.6,5.62,7.5,4.54,0.041,0.0104,0.458,-12.956,-3.397,0.0745,2.17
"Bahamas","MOW2","2",1.72,0.1181,140.9,7.6,5.62,7.5,4.54,0.06,0.0108,0.692,-12.916,-1.679,0.0781,1.34
"Bahamas","MOW2","3",1.72,0.1181,140.9,7.6,5.62,7.5,4.54,0.032,0.0101,0.409,-15.91,-2.865,0.0896,2.03
"Bahamas","MOW3","1",0.583,0.0436,146.5,7.2,1.97,7.2,5.17,0.064,0.012,0.683,-14.056,-1.742,0.087,1.74
"Bahamas","MOW3","2",0.583,0.0436,146.5,7.2,1.97,7.2,5.17,0.073,0.0111,0.77,-12.341,-1.811,0.0689,1.39
"Bahamas","MOW3","3",0.583,0.0436,146.5,7.2,1.97,7.2,5.17,0.053,0.0108,0.86,-13.518,-1.727,0.0753,1.34
"Haiti","H1","1",2.515,0.6389,198.6,8.1,5.27,8.1,5.57,0.061,0.014,0.565,-14.518,-1.924,0.076,1.27
"Haiti","H1","2",2.515,0.6389,198.6,8.1,5.27,8.1,5.57,0.045,0.0155,0.438,-14.721,-3.131,0.0841,2.33
"Haiti","H1","3",2.515,0.6389,198.6,8.1,5.27,8.1,5.57,0.053,0.0235,0.375,-15.815,-1.22,0.0734,1.27
"Haiti","H2","1",5.602,0.4134,203.2,6,1.82,6,7.28,0.05,0.0203,0.536,-16.566,-2.561,0.0944,1.42
"Haiti","H2","2",5.602,0.4134,203.2,6,1.82,6,7.28,0.08,0.0174,0.69,-15.014,-2.561,0.1077,1.49
"Haiti","H2","3",5.602,0.4134,203.2,6,1.82,6,7.28,0.084,0.0212,0.821,-13.18,-2.173,0.0989,1.4
"Haiti","H3","1",9.865,0.9744,160.4,6.3,25.12,6.2,2.07,0.031,0.0224,0.364,-16.916,-1.14,0.1145,1.59
"Haiti","H3","2",9.865,0.9744,160.4,6.3,25.12,6.2,2.07,0.025,0.0192,0.366,-13.598,-1.084,0.1111,1.87
"Haiti","H3","3",9.865,0.9744,160.4,6.3,25.12,6.2,2.07,0.044,0.0218,0.28,-13.725,-2.613,0.1212,1.73
"Haiti","H4","1",5.271,0.5923,181.8,7.5,19.05,7.4,8.35,0.04,0.0222,0.467,-13.694,-3.093,0.1091,1.38
"Haiti","H4","2",5.271,0.5923,181.8,7.5,19.05,7.4,8.35,0.038,0.0231,0.414,-13.636,-2.176,NA,NA
"Haiti","H4","3",5.271,0.5923,181.8,7.5,19.05,7.4,8.35,0.044,0.019,0.469,-13.883,-1.847,NA,NA
"Haiti","H5","1",1.604,0.0846,193,5.3,10.46,5.3,4.35,0.143,0.0148,1.567,-22.558,-2.079,NA,NA
"Haiti","H5","2",1.604,0.0846,193,5.3,10.46,5.3,4.35,0.103,0.0266,1.13,-21.676,-1.291,0.163,1.7
"Haiti","H5","3",1.604,0.0846,193,5.3,10.46,5.3,4.35,0.127,0.0148,1.26,-21.58,-1.865,0.1427,1.49
"Haiti","H6","1",3.657,0.3133,350.3,5,17.67,4.9,1.11,0.031,0.0126,0.383,-13.817,-1.896,0.089,1.42
"Haiti","H6","2",3.657,0.3133,350.3,5,17.67,4.9,1.11,0.043,0.0115,0.555,-11.764,-2.903,0.0716,1.19
"Haiti","H6","3",3.657,0.3133,350.3,5,17.67,4.9,1.11,0.032,0.0128,0.541,-12.169,-1.87,0.093,1.22
"Haiti","H8","1",0.386,0.0243,333.8,6.9,26.26,6.9,2.04,0.12,0.0185,1.38,-18.072,-1.539,0.1269,1.53
"Haiti","H8","2",0.386,0.0243,333.8,6.9,26.26,6.9,2.04,0.054,0.0192,0.75,-18.565,-2.879,0.1029,1.5
"Haiti","H8","3",0.386,0.0243,333.8,6.9,26.26,6.9,2.04,0.095,0.0152,1.086,-18.059,-1.574,0.125,1.53
